
cedula;nombre;tipo;salarioQuincena;bono;totalAPagar
10101010;Ana Salgado;SEA SAPO;450000.00;45000.00;495000.00
20202020;Luis Pérez;PorHoras;410000.00;41000.00;451000.00
30303030;María Gómez;Temporal;300000.00;15000.00;315000.00
40404040;Carlos Rojas;Comisionista;900000.01;240000.00;1140000.01
50505050;Sofía Torres;Practicante;150000.00;0.00;150000.00
11111111;Jhashua Canton;SEA SAPO;375000.00;37500.00;412500.00
22222222;Marco López;PorHoras;270000.00;0.00;270000.00
33333333;Laura Méndez;Temporal;210006.00;10500.30;220506.30
44444444;Diego Mora;Comisionista;489999.99;160000.00;649999.99
55555555;Pedro Sánchez;Practicante;0.00;0.00;0.00
60606060;Andrea Vega;Comisionista;300000.00;20000.00;320000.00
61616161;Mario Ruiz;Comisionista;300000.00;20000.00;320000.00
77777777;Karla Jiménez;PorHoras;410800.00;0.00;410800.00
88888888;Nelson Arias;Temporal;330000.00;16500.00;346500.00
99999999;Olga Castillo;SEA SAPO;600000.00;60000.00;660000.00
